dataset,lr,dropout,n_blocks,metric,test_mean,test_std,n_seeds,val_ndcg20_mean,val_ndcg20_std
sports_and_outdoors,0.001,0.5,2,ndcg@5,0.014199999999999999,0.0005291502622129185,3,0.02760756401253088,0.0002647073463455449
sports_and_outdoors,0.001,0.5,2,recall@10,0.033433333333333336,0.0007094598884597579,3,0.02760756401253088,0.0002647073463455449
sports_and_outdoors,0.001,0.5,2,recall@20,0.0501,0.0001999999999999988,3,0.02760756401253088,0.0002647073463455449
sports_and_outdoors,0.001,0.5,2,recall@5,0.021666666666666667,0.0003511884584284243,3,0.02760756401253088,0.0002647073463455449
sports_and_outdoors,0.001,0.5,3,ndcg@10,0.017533333333333335,0.00015275252316519525,3,0.027325934696719543,0.0005867366908964266
sports_and_outdoors,0.001,0.5,3,ndcg@20,0.021933333333333332,5.7735026918962226e-05,3,0.027325934696719543,0.0005867366908964266
sports_and_outdoors,0.001,0.5,3,ndcg@5,0.013633333333333332,0.00015275252316519468,3,0.027325934696719543,0.0005867366908964266
sports_and_outdoors,0.001,0.5,3,recall@10,0.032766666666666666,0.0007371114795831983,3,0.027325934696719543,0.0005867366908964266
sports_and_outdoors,0.001,0.5,3,recall@20,0.05036666666666667,0.00015275252316519525,3,0.027325934696719543,0.0005867366908964266
sports_and_outdoors,0.001,0.5,3,recall@5,0.020633333333333333,0.00035118845842842597,3,0.027325934696719543,0.0005867366908964266
sports_and_outdoors,0.001,0.8,2,ndcg@10,0.0155,0.0001732050807568867,3,0.0259682411278688,0.00022094296231218115
sports_and_outdoors,0.001,0.8,2,ndcg@20,0.019733333333333335,0.0002516611478423586,3,0.0259682411278688,0.00022094296231218115
sports_and_outdoors,0.001,0.8,2,ndcg@5,0.011966666666666667,0.00028867513459481317,3,0.0259682411278688,0.00022094296231218115
sports_and_outdoors,0.001,0.8,2,recall@10,0.029633333333333334,0.00015275252316519525,3,0.0259682411278688,0.00022094296231218115
sports_and_outdoors,0.001,0.8,2,recall@20,0.04650000000000001,0.0005000000000000004,3,0.0259682411278688,0.00022094296231218115
sports_and_outdoors,0.001,0.8,2,recall@5,0.018566666666666665,0.0005686240703077312,3,0.0259682411278688,0.00022094296231218115
sports_and_outdoors,0.003,0.2,2,ndcg@10,0.0131,0.0011357816691600544,3,0.021595599112384234,0.001262297909841661
sports_and_outdoors,0.003,0.2,2,ndcg@20,0.016966666666666668,0.0013279056191361392,3,0.021595599112384234,0.001262297909841661
sports_and_outdoors,0.003,0.2,2,ndcg@5,0.009866666666666668,0.0011930353445448853,3,0.021595599112384234,0.001262297909841661
sports_and_outdoors,0.003,0.2,2,recall@10,0.025833333333333333,0.001703917055884274,3,0.021595599112384234,0.001262297909841661
sports_and_outdoors,0.003,0.2,2,recall@20,0.0411,0.002594224354214568,3,0.021595599112384234,0.001262297909841661
sports_and_outdoors,0.003,0.2,2,recall@5,0.015733333333333332,0.0018147543451754935,3,0.021595599112384234,0.001262297909841661
sports_and_outdoors,0.003,0.5,2,ndcg@10,0.0161,0.0009165151389911668,3,0.024813736571694636,0.0005257417117774715
sports_and_outdoors,0.003,0.5,2,ndcg@20,0.020133333333333333,0.0005686240703077326,3,0.024813736571694636,0.0005257417117774715
sports_and_outdoors,0.003,0.5,2,ndcg@5,0.012499999999999999,0.0010535653752852736,3,0.024813736571694636,0.0005257417117774715
sports_and_outdoors,0.003,0.5,2,recall@10,0.030233333333333334,0.0010969655114602876,3,0.024813736571694636,0.0005257417117774715
sports_and_outdoors,0.003,0.5,2,recall@20,0.04636666666666667,0.0008736894948054105,3,0.024813736571694636,0.0005257417117774715
