dataset,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
toys_and_games,0.0003,0.07,n_visited_items,5004.953450520833,1.6716891271591563,3,0.05774193877975146,0.0003734426974780764
toys_and_games,0.0003,0.07,ndcg@10,0.04245311642686526,0.00035321430802138365,3,0.05774193877975146,0.0003734426974780764
toys_and_games,0.0003,0.07,ndcg@5,0.033578433096408844,0.00031884908299311234,3,0.05774193877975146,0.0003734426974780764
toys_and_games,0.0003,0.07,recall@10,0.07883439709742864,0.0011052634322914554,3,0.05774193877975146,0.0003734426974780764
toys_and_games,0.0003,0.07,recall@5,0.05129129687945048,0.0007986145400462876,3,0.05774193877975146,0.0003734426974780764
toys_and_games,0.001,0.01,n_visited_items,5205.201009114583,17.0579556455794,3,0.06262773772080739,0.0006555112435233665
toys_and_games,0.001,0.01,ndcg@10,0.04760498180985451,0.001028102937462997,3,0.06262773772080739,0.0006555112435233665
toys_and_games,0.001,0.01,ndcg@5,0.03874171401063601,0.0010279625113788849,3,0.06262773772080739,0.0006555112435233665
toys_and_games,0.001,0.01,recall@10,0.08565148711204529,0.001312691460356461,3,0.06262773772080739,0.0006555112435233665
toys_and_games,0.001,0.01,recall@5,0.05795384322603544,0.0011156197466445383,3,0.06262773772080739,0.0006555112435233665
toys_and_games,0.001,0.03,n_visited_items,5153.764973958333,23.378400893500487,3,0.061982519924640656,0.00072002826290686
toys_and_games,0.001,0.03,ndcg@10,0.04588893800973892,0.000947851329382256,3,0.061982519924640656,0.00072002826290686
toys_and_games,0.001,0.03,ndcg@5,0.03728622073928515,0.000796734576831723,3,0.061982519924640656,0.00072002826290686
toys_and_games,0.001,0.03,recall@10,0.08298990378777187,0.0019143728214527516,3,0.061982519924640656,0.00072002826290686
toys_and_games,0.001,0.03,recall@5,0.056236691772937775,0.0012473902516929227,3,0.061982519924640656,0.00072002826290686
toys_and_games,0.001,0.07,n_visited_items,5013.686848958333,5.723783858893972,3,0.05957254643241564,0.00018569660429430143
toys_and_games,0.001,0.07,ndcg@10,0.043821919709444046,0.00033936816067476916,3,0.05957254643241564,0.00018569660429430143
toys_and_games,0.001,0.07,ndcg@5,0.03490029896299044,1.4081825147226923e-05,3,0.05957254643241564,0.00018569660429430143
toys_and_games,0.001,0.07,recall@10,0.0813757802049319,0.001472750454216195,3,0.05957254643241564,0.00018569660429430143
toys_and_games,0.001,0.07,recall@5,0.05360945065816244,0.00048689680651695566,3,0.05957254643241564,0.00018569660429430143
toys_and_games,0.003,0.01,n_visited_items,5183.29248046875,25.120020358690894,3,0.06273176024357478,0.00048216778037618385
toys_and_games,0.003,0.01,ndcg@10,0.048302002251148224,0.0008637319886053368,3,0.06273176024357478,0.00048216778037618385
toys_and_games,0.003,0.01,ndcg@5,0.03935787330071131,0.000905355793369952,3,0.06273176024357478,0.00048216778037618385
toys_and_games,0.003,0.01,recall@10,0.08614945908387502,0.001574637775783691,3,0.06273176024357478,0.00048216778037618385
