dataset,m,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
pet_supplies,64,0.001,0.03,ndcg@10,0.033841600020726524,0.000528650735814715,3,0.04446949933966001,9.533787010611061e-05
pet_supplies,64,0.001,0.03,ndcg@5,0.02729125941793124,0.0001388443876308264,3,0.04446949933966001,9.533787010611061e-05
pet_supplies,64,0.001,0.03,recall@10,0.06117378547787666,0.0014677347661871433,3,0.04446949933966001,9.533787010611061e-05
pet_supplies,64,0.001,0.03,recall@5,0.04076013962427775,0.0006297009572078695,3,0.04446949933966001,9.533787010611061e-05
pet_supplies,64,0.001,0.05,n_visited_items,4770.147786458333,22.312758726513053,3,0.04455603286623955,0.00033393332454584735
pet_supplies,64,0.001,0.05,ndcg@10,0.03366427371899287,0.0008021056026212537,3,0.04455603286623955,0.00033393332454584735
pet_supplies,64,0.001,0.05,ndcg@5,0.026967807362476986,0.0005860247997816763,3,0.04455603286623955,0.00033393332454584735
pet_supplies,64,0.001,0.05,recall@10,0.061005908995866776,0.0012941657676896034,3,0.04455603286623955,0.00033393332454584735
pet_supplies,64,0.001,0.05,recall@5,0.04017257566253344,0.0006763115305820443,3,0.04455603286623955,0.00033393332454584735
pet_supplies,64,0.001,0.07,n_visited_items,4649.748046875,16.37613239449633,3,0.044936295598745346,0.0004489436027438214
pet_supplies,64,0.001,0.07,ndcg@10,0.03346532707413038,0.0003555830442233108,3,0.044936295598745346,0.0004489436027438214
pet_supplies,64,0.001,0.07,ndcg@5,0.026581458126505215,8.054390172990414e-05,3,0.044936295598745346,0.0004489436027438214
pet_supplies,64,0.001,0.07,recall@10,0.06105627243717512,0.0011421700624855563,3,0.044936295598745346,0.0004489436027438214
pet_supplies,64,0.001,0.07,recall@5,0.03965216254194578,0.000295099056265619,3,0.044936295598745346,0.0004489436027438214
pet_supplies,64,0.003,0.03,n_visited_items,4817.140787760417,55.03649052787189,3,0.04546205078562101,0.0004817791542201582
pet_supplies,64,0.003,0.03,ndcg@10,0.03549184029301008,0.00040846706489213087,3,0.04546205078562101,0.0004817791542201582
pet_supplies,64,0.003,0.03,ndcg@5,0.02888534963130951,0.0006697067847858766,3,0.04546205078562101,0.0004817791542201582
pet_supplies,64,0.003,0.03,recall@10,0.06387657920519511,0.0007338687039668784,3,0.04546205078562101,0.0004817791542201582
pet_supplies,64,0.003,0.03,recall@5,0.04341257115205129,0.0010766286128656348,3,0.04546205078562101,0.0004817791542201582
pet_supplies,64,0.003,0.05,n_visited_items,4739.985026041667,20.552145535554896,3,0.04516473909219106,0.00014415608077873726
pet_supplies,64,0.003,0.05,ndcg@10,0.03500080108642578,0.0007642105666528765,3,0.04516473909219106,0.00014415608077873726
pet_supplies,64,0.003,0.05,ndcg@5,0.02842010309298833,0.0007284544631559444,3,0.04516473909219106,0.00014415608077873726
pet_supplies,64,0.003,0.05,recall@10,0.06281896432240804,0.0010687490245963685,3,0.04516473909219106,0.00014415608077873726
pet_supplies,64,0.003,0.05,recall@5,0.04235495626926422,0.0009608559718322394,3,0.04516473909219106,0.00014415608077873726
pet_supplies,64,0.003,0.07,n_visited_items,4612.839029947917,19.381722830284456,3,0.045380682994922004,0.0004814891400545311
pet_supplies,64,0.003,0.07,ndcg@10,0.035311284164587654,0.0005261387624413546,3,0.045380682994922004,0.0004814891400545311
pet_supplies,64,0.003,0.07,ndcg@5,0.028566302731633186,0.0005618395197208898,3,0.045380682994922004,0.0004814891400545311
pet_supplies,64,0.003,0.07,recall@10,0.06333937620123227,0.0012482754627576474,3,0.045380682994922004,0.0004814891400545311
pet_supplies,64,0.003,0.07,recall@5,0.04233816886941592,0.001266429755451107,3,0.045380682994922004,0.0004814891400545311
pet_supplies,64,0.01,0.03,n_visited_items,4489.329752604167,21.70965645053372,3,0.04355183492104212,0.00013873436508411624
pet_supplies,64,0.01,0.03,ndcg@10,0.0333721861243248,0.0012967129773391677,3,0.04355183492104212,0.00013873436508411624
pet_supplies,64,0.01,0.03,ndcg@5,0.026472100988030434,0.000853185287909593,3,0.04355183492104212,0.00013873436508411624
pet_supplies,64,0.01,0.03,recall@10,0.06127451111872991,0.0024498896163977477,3,0.04355183492104212,0.00013873436508411624
pet_supplies,64,0.01,0.03,recall@5,0.03985361382365227,0.0012360226444497176,3,0.04355183492104212,0.00013873436508411624
pet_supplies,64,0.01,0.05,n_visited_items,4351.168782552083,221.8676154636932,3,0.03963037580251694,0.005307962413197882
